iter	Passed	Remaining
623	1310	789
624	1311	787
625	1313	784
626	1314	782
627	1316	779
628	1320	778
629	1322	776
630	1323	774
631	1325	771
632	1326	769
633	1328	766
634	1329	764
635	1331	761
636	1333	759
637	1335	757
638	1337	755
639	1338	752
640	1340	750
641	1341	748
642	1342	745
643	1344	743
644	1346	740
645	1347	738
646	1351	737
647	1353	735
648	1354	732
649	1356	730
650	1357	727
651	1359	725
652	1360	723
653	1361	720
654	1365	719
655	1367	717
656	1368	714
657	1370	712
658	1371	709
659	1373	707
660	1374	705
661	1376	702
662	1378	700
663	1381	698
664	1382	696
665	1384	694
666	1385	691
667	1387	689
668	1388	687
669	1391	685
670	1393	683
671	1395	681
672	1397	679
673	1399	676
674	1400	674
675	1402	671
676	1403	669
677	1405	667
678	1406	664
679	1407	662
680	1410	660
681	1412	658
682	1414	656
683	1415	654
684	1417	651
685	1419	649
686	1420	647
687	1422	644
688	1423	642
689	1425	640
690	1427	638
691	1428	636
692	1430	633
693	1431	631
694	1433	628
695	1434	626
696	1436	624
697	1437	621
698	1439	620
699	1442	618
700	1444	616
701	1446	613
702	1447	611
703	1449	609
704	1450	607
705	1451	604
706	1453	602
707	1457	601
708	1459	598
709	1460	596
710	1462	594
711	1464	592
712	1465	589
713	1466	587
714	1468	585
715	1471	583
716	1473	581
717	1474	579
718	1476	577
719	1478	574
720	1479	572
721	1481	570
722	1483	568
723	1485	566
724	1489	564
725	1491	562
726	1492	560
727	1494	558
728	1495	556
729	1497	553
730	1498	551
731	1503	550
732	1505	548
733	1506	546
734	1508	543
735	1509	541
736	1511	539
737	1513	537
738	1516	535
739	1519	533
740	1520	531
741	1522	529
742	1524	527
743	1526	525
744	1528	523
745	1530	521
746	1535	520
747	1537	517
748	1539	515
749	1541	513
750	1542	511
751	1544	509
752	1548	507
753	1551	506
754	1553	504
755	1555	502
756	1557	499
757	1559	497
758	1560	495
759	1564	494
760	1568	492
761	1570	490
762	1573	488
763	1574	486
764	1576	484
765	1579	482
766	1582	480
767	1585	478
768	1588	477
769	1589	474
770	1591	472
771	1592	470
772	1596	468
773	1600	467
774	1602	465
775	1604	463
776	1606	460
777	1608	458
778	1615	458
779	1617	456
780	1619	454
781	1621	451
782	1623	449
783	1626	448
784	1630	446
785	1632	444
786	1634	442
787	1636	440
788	1637	438
789	1642	436
790	1645	434
791	1647	432
792	1648	430
793	1650	428
794	1651	425
795	1653	423
796	1656	422
797	1660	420
798	1662	418
799	1663	415
800	1665	413
801	1666	411
802	1668	409
803	1671	407
804	1674	405
805	1675	403
806	1677	401
807	1679	399
808	1680	396
809	1682	394
810	1683	392
811	1685	390
812	1688	388
813	1690	386
814	1691	384
815	1693	381
816	1695	379
817	1697	377
818	1699	375
819	1702	373
820	1704	371
821	1705	369
822	1707	367
823	1709	365
824	1710	362
825	1711	360
826	1713	358
827	1714	356
828	1718	354
829	1720	352
830	1721	350
831	1723	347
832	1725	345
833	1726	343
834	1728	341
835	1729	339
836	1734	337
837	1735	335
838	1737	333
839	1738	331
840	1740	329
841	1741	326
842	1743	324
843	1745	322
844	1748	320
845	1750	318
846	1752	316
847	1753	314
848	1755	312
849	1757	310
850	1758	307
851	1760	305
852	1763	303
853	1766	301
854	1767	299
855	1769	297
856	1771	295
857	1773	293
858	1775	291
859	1776	289
860	1780	287
861	1782	285
862	1784	283
863	1785	281
864	1787	278
865	1788	276
866	1790	274
867	1792	272
868	1794	270
869	1796	268
870	1797	266
871	1799	264
872	1801	262
873	1802	259
874	1804	257
875	1805	255
876	1807	253
877	1811	251
878	1812	249
879	1814	247
880	1816	245
881	1817	243
882	1819	241
883	1822	239
884	1825	237
885	1827	235
886	1829	233
887	1830	230
888	1832	228
889	1833	226
890	1835	224
891	1836	222
892	1838	220
893	1842	218
894	1843	216
895	1845	214
896	1846	212
897	1848	209
898	1849	207
899	1851	205
900	1852	203
901	1855	201
902	1858	199
903	1860	197
904	1862	195
905	1864	193
906	1866	191
907	1867	189
908	1870	187
909	1873	185
910	1875	183
911	1876	181
912	1877	178
913	1879	176
914	1880	174
915	1882	172
916	1884	170
917	1887	168
918	1889	166
919	1890	164
920	1892	162
921	1894	160
922	1896	158
923	1897	156
924	1900	154
925	1903	152
926	1905	150
927	1907	147
928	1909	145
929	1910	143
930	1912	141
931	1914	139
932	1918	137
933	1920	135
934	1921	133
935	1923	131
936	1924	129
937	1926	127
938	1927	125
939	1929	123
940	1931	121
941	1933	119
942	1935	116
943	1936	114
944	1938	112
945	1939	110
946	1941	108
947	1942	106
948	1944	104
949	1946	102
950	1950	100
951	1951	98
952	1954	96
953	1955	94
954	1957	92
955	1958	90
956	1960	88
957	1963	86
958	1965	84
959	1967	81
960	1968	79
961	1970	77
962	1972	75
963	1974	73
964	1977	71
965	1979	69
966	1981	67
967	1982	65
968	1984	63
969	1985	61
970	1986	59
971	1988	57
972	1990	55
973	1995	53
974	1997	51
975	1999	49
976	2000	47
977	2002	45
978	2003	42
979	2005	40
980	2007	38
981	2010	36
982	2012	34
983	2013	32
984	2015	30
985	2016	28
986	2018	26
987	2019	24
988	2021	22
989	2025	20
990	2027	18
991	2029	16
992	2030	14
993	2032	12
994	2033	10
995	2035	8
996	2038	6
997	2041	4
998	2042	2
999	2044	0
